city,lat,lng,km_to_chicago,population_2020
Chicago,41.8373,-87.6862,0.0,8604.0
Miami,25.7839,-80.2102,1912.0,6446.0
Dallas,32.7936,-96.7662,1285.0,5744.0
Philadelphia,40.0077,-75.1339,1073.0,5649.0
Houston,29.7863,-95.3889,1508.0,5464.0
Atlanta,33.7627,-84.4224,942.0,5449.0
Washington,38.9047,-77.0163,960.0,5379.0
Phoenix,33.5722,-112.0891,2325.0,4220.0
Seattle,47.6211,-122.3244,2786.0,3789.0
San Francisco,37.7562,-122.443,2983.0,3592.0
Detroit,42.3834,-83.1024,383.0,3506.0
Minneapolis,44.9635,-93.2678,569.0,2977.0
Denver,39.7621,-104.8759,1463.0,2877.0
Baltimore,39.3051,-76.6144,976.0,2106.0
St. Louis,38.6358,-90.2451,417.0,2024.0
Cleveland,41.4767,-81.6804,500.0,1710.0
Pittsburgh,40.4396,-79.9762,664.0,1703.0
Cincinnati,39.1413,-84.5061,403.0,1663.0
Kansas City,39.1239,-94.5541,654.0,1637.0
Indianapolis,39.7771,-86.1458,263.0,1589.0
Columbus,39.9862,-82.985,445.0,1562.0
Milwaukee,43.0642,-87.9673,138.0,1366.0
Providence,41.823,-71.4187,1346.0,1203.0
Jacksonville,30.3322,-81.6749,1388.0,1181.0
Salt Lake City,40.7777,-111.9306,2022.0,1099.0
Nashville,36.1715,-86.7843,635.0,1082.0
Richmond,37.5295,-77.4756,995.0,1076.0
Memphis,35.1046,-89.9773,775.0,1067.0
New Orleans,30.0687,-89.9288,1324.0,1021.0
Louisville,38.1663,-85.6485,444.0,1006.0
Buffalo,42.9016,-78.8487,735.0,914.0
Hartford,41.7661,-72.6834,1242.0,905.0
Omaha,41.2627,-96.0522,699.0,848.0
Albuquerque,35.1053,-106.6464,1807.0,761.0
Charleston,32.8153,-79.9628,1212.0,628.0
Albany,42.6664,-73.7987,1145.0,586.0
Wichita,37.6896,-97.3442,945.0,482.0
Des Moines,41.5725,-93.6105,493.0,474.0
Little Rock,34.7256,-92.3576,889.0,440.0
Wilmington,34.21,-77.8866,1205.0,256.0
Norfolk,36.8945,-76.259,1124.0,243.0
